,NeuralAgent_Student5_200cAgent,Student5_200cAgent
921,1.015,1.015
922,1.005,1.055
923,1.02,0.995
924,1.005,1.055
925,1.01,1.035
926,1.015,1.015
927,1.02,0.995
928,1.005,1.055
929,1.02,0.995
930,1.02,0.995
931,1.02,0.995
932,1.01,1.035
933,1.015,1.015
934,1.02,0.995
935,1.01,1.035
936,1.015,1.015
937,1.015,1.015
938,1.005,1.055
939,1.015,1.015
940,1.015,1.015
941,1.02,0.995
942,1.02,0.995
943,1.015,1.015
944,1.02,0.995
945,1.01,1.035
946,1.015,1.015
947,1.02,0.995
948,1.02,0.995
949,1.015,1.015
950,1.02,0.995
951,1.015,1.015
952,1.02,0.995
953,1.01,1.035
954,1.015,1.015
955,1.02,0.995
956,1.02,0.995
957,1.015,1.015
958,1.015,1.015
959,1.02,0.995
960,1.015,1.015
961,1.01,1.035
962,1.01,1.035
963,1.02,0.995
964,1.005,1.055
965,1.02,0.995
966,1.01,1.035
967,1.015,1.015
968,1.0,1.075
969,1.0,1.075
970,1.02,0.995
971,1.015,1.015
972,1.015,1.015
973,1.015,1.015
974,1.015,1.015
975,1.015,1.015
976,1.005,1.055
977,1.02,0.995
978,1.015,1.015
979,1.015,1.015
980,1.02,0.995
981,1.01,1.035
982,1.02,0.995
983,1.02,0.995
984,1.01,1.035
985,1.015,1.015
986,1.015,1.015
987,1.01,1.035
988,1.015,1.015
989,1.02,0.995
990,1.02,0.995
991,1.02,0.995
992,1.02,0.995
993,1.015,1.015
994,1.01,1.035
995,1.02,0.995
996,1.01,1.035
997,1.015,1.015
998,1.015,1.015
999,1.015,1.015
