,NeuralAgent_Student17_200bAgent_rng,Student17_200bAgent
705,0.105,4.88
706,0.1,4.85
707,0.1,4.875
708,0.075,4.95
709,0.08,4.93
710,0.095,4.895
711,0.09,4.89
712,0.09,4.915
713,0.095,4.895
714,0.09,4.89
715,0.095,4.895
716,0.1,4.85
717,0.085,4.91
718,0.095,4.895
719,0.095,4.87
720,0.11,4.835
721,0.095,4.895
722,0.1,4.875
723,0.09,4.915
724,0.1,4.875
725,0.105,4.88
726,0.1,4.875
727,0.095,4.895
728,0.085,4.91
729,0.115,4.84
730,0.085,4.91
731,0.08,4.93
732,0.1,4.875
733,0.105,4.88
734,0.095,4.87
735,0.095,4.87
736,0.08,4.93
737,0.095,4.87
738,0.095,4.895
739,0.095,4.87
740,0.085,4.91
741,0.075,4.95
742,0.09,4.915
743,0.09,4.89
744,0.085,4.91
745,0.075,4.95
746,0.085,4.91
747,0.09,4.89
748,0.085,4.91
749,0.1,4.9
750,0.085,4.935
751,0.105,4.855
752,0.09,4.915
753,0.09,4.915
754,0.115,4.865
755,0.085,4.91
756,0.105,4.88
757,0.1,4.9
758,0.1,4.875
759,0.075,4.95
760,0.13,4.805
761,0.08,4.93
762,0.095,4.895
763,0.08,4.93
764,0.095,4.895
765,0.075,4.95
766,0.08,4.93
767,0.085,4.91
768,0.1,4.875
769,0.1,4.875
770,0.08,4.93
771,0.08,4.93
772,0.095,4.87
773,0.08,4.93
774,0.085,4.91
775,0.075,4.95
776,0.085,4.91
777,0.095,4.895
778,0.08,4.93
779,0.095,4.895
780,0.09,4.89
781,0.075,4.95
782,0.12,4.845
783,0.095,4.895
784,0.08,4.93
785,0.09,4.915
786,0.075,4.95
787,0.08,4.93
788,0.105,4.855
789,0.09,4.915
790,0.09,4.89
791,0.09,4.915
792,0.09,4.915
793,0.1,4.875
794,0.09,4.915
795,0.095,4.895
796,0.075,4.95
797,0.095,4.92
798,0.085,4.935
799,0.085,4.91
800,0.075,4.95
801,0.085,4.935
802,0.075,4.95
803,0.095,4.87
804,0.095,4.92
805,0.1,4.875
806,0.08,4.93
807,0.105,4.88
808,0.08,4.93
809,0.095,4.895
810,0.105,4.905
811,0.095,4.92
812,0.08,4.93
813,0.095,4.895
814,0.09,4.915
815,0.075,4.95
816,0.085,4.935
817,0.08,4.93
818,0.085,4.935
819,0.085,4.935
820,0.08,4.93
821,0.09,4.915
822,0.09,4.915
823,0.095,4.895
824,0.08,4.93
825,0.085,4.91
826,0.075,4.95
827,0.085,4.935
828,0.075,4.95
829,0.09,4.915
830,0.09,4.915
831,0.1,4.9
832,0.095,4.92
833,0.095,4.895
834,0.085,4.935
835,0.095,4.92
836,0.095,4.92
837,0.105,4.88
838,0.08,4.93
839,0.09,4.89
840,0.085,4.91
841,0.11,4.86
842,0.09,4.915
843,0.095,4.92
844,0.085,4.935
845,0.08,4.93
846,0.09,4.89
847,0.095,4.92
848,0.09,4.915
849,0.075,4.95
850,0.08,4.93
851,0.085,4.935
852,0.08,4.93
853,0.085,4.91
854,0.095,4.895
855,0.095,4.895
856,0.085,4.935
857,0.095,4.92
858,0.075,4.95
859,0.1,4.9
860,0.085,4.935
861,0.1,4.9
862,0.075,4.95
863,0.075,4.95
864,0.085,4.935
865,0.085,4.935
866,0.08,4.93
867,0.075,4.95
868,0.11,4.86
869,0.08,4.93
870,0.085,4.935
871,0.075,4.95
872,0.075,4.95
873,0.1,4.9
874,0.075,4.95
875,0.095,4.92
876,0.075,4.95
877,0.085,4.935
878,0.09,4.915
879,0.075,4.95
880,0.085,4.91
881,0.08,4.93
882,0.1,4.875
883,0.075,4.95
884,0.075,4.95
885,0.075,4.95
886,0.09,4.915
887,0.08,4.93
888,0.095,4.92
889,0.085,4.935
890,0.085,4.935
891,0.085,4.935
892,0.075,4.95
893,0.085,4.935
894,0.08,4.93
895,0.075,4.95
896,0.095,4.92
897,0.095,4.895
898,0.09,4.89
899,0.08,4.93
900,0.075,4.95
901,0.095,4.895
902,0.075,4.95
903,0.09,4.915
904,0.085,4.935
905,0.085,4.935
906,0.095,4.92
907,0.085,4.935
908,0.075,4.95
909,0.1,4.9
910,0.075,4.95
911,0.085,4.935
912,0.09,4.915
913,0.09,4.915
914,0.105,4.88
915,0.08,4.93
916,0.085,4.935
917,0.075,4.95
918,0.105,4.905
919,0.095,4.92
920,0.08,4.93
921,0.085,4.935
922,0.095,4.92
923,0.09,4.915
924,0.095,4.92
925,0.095,4.92
926,0.075,4.95
927,0.09,4.915
928,0.085,4.935
929,0.085,4.91
930,0.085,4.935
931,0.075,4.95
932,0.08,4.93
933,0.09,4.915
934,0.095,4.92
935,0.09,4.915
936,0.09,4.915
937,0.085,4.935
938,0.075,4.95
939,0.095,4.92
940,0.085,4.935
941,0.085,4.935
942,0.085,4.935
943,0.075,4.95
944,0.085,4.935
945,0.075,4.95
946,0.075,4.95
947,0.09,4.915
948,0.075,4.95
949,0.085,4.935
950,0.075,4.95
951,0.075,4.95
952,0.085,4.935
953,0.075,4.95
954,0.095,4.895
955,0.075,4.95
956,0.09,4.915
957,0.09,4.915
958,0.09,4.915
959,0.075,4.95
960,0.085,4.935
961,0.085,4.91
962,0.09,4.915
963,0.095,4.92
964,0.08,4.93
965,0.095,4.895
966,0.075,4.95
967,0.075,4.95
968,0.1,4.9
969,0.08,4.93
970,0.085,4.935
971,0.075,4.95
972,0.075,4.95
973,0.09,4.915
974,0.075,4.95
975,0.085,4.91
976,0.085,4.935
977,0.075,4.95
978,0.075,4.95
979,0.075,4.95
980,0.075,4.95
981,0.085,4.935
982,0.085,4.935
983,0.075,4.95
984,0.085,4.935
985,0.105,4.905
986,0.075,4.95
987,0.075,4.95
988,0.085,4.935
989,0.075,4.95
990,0.085,4.935
991,0.085,4.935
992,0.085,4.935
993,0.08,4.93
994,0.085,4.935
995,0.075,4.95
996,0.1,4.9
997,0.09,4.915
998,0.085,4.91
999,0.075,4.95
