,NeuralAgent_Student1_200aAgent,Student1_200aAgent
696,1.525,3.225
697,1.175,3.275
698,1.06,3.26
699,1.135,3.36
700,1.42,3.045
701,1.06,3.285
702,1.065,3.29
703,1.045,3.295
704,1.06,3.31
705,1.135,3.31
706,1.65,3.175
707,1.445,3.145
708,1.26,3.26
709,1.665,3.09
710,1.08,3.305
711,1.055,3.255
712,1.05,3.4
713,1.085,3.185
714,1.305,3.18
715,1.165,3.24
716,1.035,3.36
717,1.08,3.18
718,1.33,3.105
719,1.315,3.24
720,2.52,3.02
721,1.06,3.26
722,1.385,3.21
723,1.065,3.24
724,1.045,3.295
725,1.585,3.06
726,1.085,3.235
727,1.075,3.225
728,1.9,3.0
729,1.04,3.215
730,1.115,3.24
731,1.05,3.225
732,1.1,3.225
733,1.355,3.18
734,1.48,3.105
735,1.09,3.265
736,1.075,3.275
737,1.055,3.205
738,1.055,3.255
739,1.11,3.16
740,1.09,3.215
741,1.09,3.24
742,1.125,3.075
743,1.075,3.2
744,1.1,3.175
745,1.09,2.965
746,1.65,2.95
747,1.11,3.185
748,1.075,3.125
749,1.06,3.335
750,1.09,3.24
751,1.065,3.19
752,1.1,3.225
753,1.345,3.17
754,1.085,3.11
755,1.125,3.1
756,1.095,3.245
757,1.165,3.04
758,1.09,3.14
759,1.095,3.07
760,1.115,3.19
761,1.155,3.13
762,1.06,3.185
763,1.42,3.07
764,1.13,3.105
765,1.045,3.195
766,1.12,3.12
767,1.085,3.085
768,1.045,3.295
769,1.45,3.125
770,1.33,3.03
771,1.1,3.175
772,1.24,3.19
773,1.095,3.195
774,1.11,3.21
775,1.82,2.945
776,1.095,3.12
777,1.05,3.25
778,1.2,3.15
779,1.09,3.165
780,1.2,3.125
781,1.08,3.155
782,1.095,3.17
783,1.125,3.05
784,1.335,3.16
785,1.11,3.135
786,1.13,3.13
787,1.225,3.05
788,1.075,3.175
789,1.075,3.1
790,1.105,3.155
791,1.375,3.15
792,1.335,3.16
793,1.075,3.225
794,1.195,3.195
795,1.07,3.07
796,1.1,3.175
797,1.07,3.095
798,1.085,3.185
799,1.075,3.125
800,1.22,3.07
801,1.08,3.105
802,1.3,3.025
803,1.075,3.075
804,1.53,2.955
805,1.12,3.095
806,1.105,3.08
807,1.11,3.185
808,1.13,3.08
809,1.1,3.15
810,1.115,3.065
811,1.08,3.155
812,1.115,3.09
813,1.075,3.15
814,1.245,3.07
815,1.515,3.015
816,1.045,3.22
817,1.11,3.035
818,1.105,3.155
819,1.125,3.075
820,1.07,3.07
821,1.295,3.07
822,1.155,3.105
823,1.12,2.995
824,1.06,3.185
825,1.125,3.05
826,1.215,3.09
827,1.095,3.045
828,1.57,2.995
829,1.085,3.11
830,1.12,3.095
831,1.295,3.045
832,1.09,3.09
833,1.105,3.055
834,1.11,3.135
835,1.125,3.05
836,1.09,3.19
837,1.08,3.03
838,1.25,2.975
839,1.23,3.055
840,1.085,3.16
841,1.215,3.09
842,1.275,3.05
843,1.095,3.095
844,1.07,3.195
845,1.33,3.055
846,1.43,3.03
847,1.09,3.19
848,1.1,3.1
849,1.08,3.13
850,1.075,3.125
851,1.32,2.895
852,1.08,3.105
853,1.12,3.045
854,1.25,3.075
855,1.64,2.94
856,1.09,3.09
857,1.07,3.17
858,1.11,3.085
859,1.11,3.035
860,1.105,2.98
861,1.105,3.13
862,1.085,3.11
863,1.07,3.045
864,1.125,3.1
865,1.125,3.1
866,1.12,3.045
867,1.105,3.08
868,1.055,3.155
869,1.115,3.065
870,1.355,2.93
871,1.075,3.05
872,1.295,3.02
873,1.12,3.095
874,1.115,2.99
875,1.09,3.065
876,1.135,3.035
877,1.135,3.035
878,1.105,3.105
879,1.145,3.02
880,1.125,3.1
881,1.115,3.04
882,1.135,2.985
883,1.115,3.065
884,1.11,3.01
885,1.125,3.025
886,1.15,2.95
887,1.115,3.04
888,1.13,3.03
889,1.135,3.01
890,1.205,3.055
891,1.13,2.955
892,1.085,3.11
893,1.115,3.04
894,1.29,2.99
895,1.12,3.02
896,1.53,2.83
897,1.1,2.975
898,1.12,2.945
899,1.125,3.0
900,1.115,3.04
901,1.145,2.97
902,1.18,2.98
903,1.115,3.015
904,1.11,2.96
905,1.14,2.99
906,1.12,3.045
907,1.12,3.02
908,1.17,3.02
909,1.115,3.015
910,1.16,2.985
911,1.14,2.99
912,1.155,3.005
913,1.22,3.045
914,1.095,2.995
915,1.115,2.99
916,1.09,3.015
917,1.1,3.0
918,1.13,2.93
919,1.125,3.0
920,1.145,2.945
921,1.125,3.025
922,1.12,2.945
923,1.165,2.89
924,1.095,3.095
925,1.07,3.045
926,1.135,2.985
927,1.265,3.065
928,1.095,3.02
929,1.125,3.1
930,1.135,3.01
931,1.09,3.065
932,1.67,2.845
933,1.095,2.995
934,1.085,3.01
935,1.12,2.97
936,1.1,3.0
937,1.14,3.015
938,1.09,3.04
939,1.12,2.995
940,1.33,2.905
941,1.11,2.96
942,1.28,2.98
943,1.135,3.01
944,1.12,3.095
945,1.14,2.965
946,1.28,2.98
947,1.115,3.09
948,1.42,2.92
949,1.11,2.96
950,1.11,3.06
951,1.265,3.015
952,1.135,2.985
953,1.09,3.09
954,1.11,2.985
955,1.095,3.02
956,1.11,2.985
957,1.12,2.97
958,1.445,2.945
959,1.1,3.0
960,1.13,3.03
961,1.105,3.005
962,1.105,3.105
963,1.135,2.985
964,1.095,3.095
965,1.095,3.02
966,1.16,2.96
967,1.13,2.98
968,1.11,3.085
969,1.09,3.065
970,1.075,3.075
971,1.115,2.94
972,1.125,3.0
973,1.085,3.035
974,1.12,2.97
975,1.145,3.02
976,1.165,2.865
977,1.115,3.04
978,1.345,2.995
979,1.17,2.895
980,1.16,2.91
981,1.115,3.04
982,1.175,2.95
983,1.28,2.955
984,1.09,2.99
985,1.165,2.94
986,1.115,2.99
987,1.145,2.995
988,1.16,2.86
989,1.095,3.045
990,1.09,3.04
991,1.145,3.095
992,1.14,2.965
993,1.11,3.01
994,1.135,2.985
995,1.115,2.99
996,1.155,2.98
997,1.14,3.015
998,1.14,2.965
999,1.135,3.06
