,NeuralAgent_AlwaysDefectAgent_rng,AlwaysDefectAgent
984,1.0,1.0
985,1.0,1.0
986,1.0,1.0
987,1.0,1.0
988,0.995,1.02
989,1.0,1.0
990,1.0,1.0
991,0.995,1.02
992,0.995,1.02
993,1.0,1.0
994,0.995,1.02
995,0.995,1.02
996,0.995,1.02
997,0.995,1.02
998,1.0,1.0
999,1.0,1.0
