,NeuralAgentOpMe_Student13_200mAgent_rng,Student13_200mAgent
932,1.1,0.975
933,1.1,0.975
934,1.1,0.975
935,1.1,0.975
936,1.1,0.975
937,1.1,0.975
938,1.1,0.975
939,1.1,0.975
940,1.1,0.975
941,1.1,0.975
942,1.1,0.975
943,1.1,0.975
944,1.1,0.975
945,1.1,0.975
946,1.1,0.975
947,1.1,0.975
948,1.1,0.975
949,1.1,0.975
950,1.1,0.975
951,1.1,0.975
952,1.1,0.975
953,1.1,0.975
954,1.1,0.975
955,1.1,0.975
956,1.1,0.975
957,1.1,0.975
958,1.1,0.975
959,1.1,0.975
960,1.1,0.975
961,1.1,0.975
962,1.1,0.975
963,1.1,0.975
964,1.1,0.975
965,1.1,0.975
966,1.1,0.975
967,1.1,0.975
968,1.1,0.975
969,1.1,0.975
970,1.1,0.975
971,1.1,0.975
972,1.1,0.975
973,1.1,0.975
974,1.1,0.975
975,1.1,0.975
976,1.1,0.975
977,1.1,0.975
978,1.1,0.975
979,1.1,0.975
980,1.1,0.975
981,1.1,0.975
982,1.1,0.975
983,1.1,0.975
984,1.1,0.975
985,1.1,0.975
986,1.1,0.975
987,1.1,0.975
988,1.1,0.975
989,1.09,0.99
990,1.1,0.975
991,1.1,0.975
992,1.1,0.975
993,1.1,0.975
994,1.1,0.975
995,1.1,0.975
996,1.1,0.975
997,1.1,0.975
998,1.1,0.975
999,1.1,0.975
